Rank,Geographic Area,2019
385,"Ogden, Utah","87,773"
386,"Fayetteville, Arkansas","87,590"
387,"Fort Myers, Florida","87,103"
388,"Goodyear, Arizona","86,840"
389,"Bryan, Texas","86,276"
390,"Waukegan, Illinois","86,075"
391,"Hawthorne, California","86,068"
392,"Redwood City, California","85,925"
393,"Hoover, Alabama","85,768"
394,"Bloomington, Indiana","85,755"
395,"Duluth, Minnesota","85,618"
396,"Lake Forest, California","85,531"
397,"Hemet, California","85,334"
398,"Whittier, California","85,098"
399,"Clifton, New Jersey","85,052"
400,"Largo, Florida","84,948"
401,"Bloomington, Minnesota","84,943"
402,"Danbury, Connecticut","84,694"
403,"Santa Fe, New Mexico","84,683"
404,"Johns Creek, Georgia","84,579"
405,"Newport Beach, California","84,534"
406,"Kennewick, Washington","84,347"
407,"Mission, Texas","84,331"
408,"Milpitas, California","84,196"
409,"Troy, Michigan","84,092"
410,"Chino Hills, California","83,853"
411,"Alhambra, California","83,750"
412,"Merced, California","83,676"
413,"Trenton, New Jersey","83,203"
414,"Franklin, Tennessee","83,097"
415,"Medford, Oregon","83,072"
416,"Melbourne, Florida","83,029"
417,"Manteca, California","83,028"
418,"Mountain View, California","82,739"
419,"Sioux City, Iowa","82,651"
420,"Lynchburg, Virginia","82,168"
421,"Buena Park, California","81,788"
422,"Pleasanton, California","81,777"
423,"Longview, Texas","81,631"
424,"Westland, Michigan","81,511"
425,"Auburn, Washington","81,464"
426,"Cranston, Rhode Island","81,456"
427,"Somerville, Massachusetts","81,360"
428,"Folsom, California","81,328"
429,"Springdale, Arkansas","81,125"
430,"Deerfield Beach, Florida","81,066"
431,"Warwick, Rhode Island","81,004"
432,"Cicero town, Illinois","80,796"
433,"Farmington Hills, Michigan","80,612"
434,"Brooklyn Park, Minnesota","80,389"
435,"Lawrence, Massachusetts","80,028"
436,"Plymouth, Minnesota","79,768"
437,"Buckeye, Arizona","79,620"
438,"Georgetown, Texas","79,604"
439,"Cedar Park, Texas","79,462"
440,"Tustin, California","79,348"
441,"Lakewood, California","79,307"
442,"Perris, California","79,291"
443,"Flower Mound town, Texas","79,135"
444,"Pharr, Texas","79,112"
445,"Loveland, Colorado","78,877"
446,"Boynton Beach, Florida","78,679"
447,"New Rochelle, New York","78,557"
448,"Temple, Texas","78,439"
449,"Lake Charles, Louisiana","78,396"
450,"Jonesboro, Arkansas","78,394"
451,"Napa, California","78,130"
452,"Parma, Ohio","78,103"
453,"Layton, Utah","78,014"
454,"Alameda, California","77,624"
455,"Warner Robins, Georgia","77,617"
456,"Rapid City, South Dakota","77,503"
457,"Bloomington, Illinois","77,330"
458,"Gastonia, North Carolina","77,273"
459,"Baytown, Texas","77,192"
460,"Upland, California","77,140"
461,"Racine, Wisconsin","76,760"
462,"Scranton, Pennsylvania","76,653"
463,"South Jordan, Utah","76,598"
464,"Bellflower, California","76,435"
465,"Kalamazoo, Michigan","76,200"
466,"San Ramon, California","75,995"
467,"Bethlehem, Pennsylvania","75,815"
468,"Wyoming, Michigan","75,667"
469,"Hammond, Indiana","75,522"
470,"Missoula, Montana","75,516"
471,"Missouri City, Texas","75,457"
472,"Pasco, Washington","75,432"
473,"Baldwin Park, California","75,251"
474,"Iowa City, Iowa","75,130"
475,"Rancho Cordova, California","75,087"
476,"Rock Hill, South Carolina","75,048"
477,"Flagstaff, Arizona","75,038"
478,"Gary, Indiana","74,879"
479,"St. Joseph, Missouri","74,875"
480,"Arlington Heights village, Illinois","74,760"
481,"Bolingbrook village, Illinois","74,545"
482,"Rochester Hills, Michigan","74,516"
483,"Framingham, Massachusetts","74,416"
484,"Union City, California","74,107"
485,"Appleton, Wisconsin","74,098"
486,"Turlock, California","73,631"
487,"Camden, New Jersey","73,562"
488,"Bismarck, North Dakota","73,529"
489,"Evanston, Illinois","73,473"
490,"Apple Valley town, California","73,453"
491,"Schaumburg village, Illinois","72,887"
492,"Woodbury, Minnesota","72,828"
493,"Kissimmee, Florida","72,717"
494,"Southfield, Michigan","72,689"
